Date,Close,Open,High,Low,Vol.,Change %
"Jun 04, 2014",208.16,208.16,208.16,208.16,-,0.00%
"Jun 05, 2014",208.16,208.16,208.16,208.16,-,0.00%
"Jun 06, 2014",204.76,204.76,209.02,204.76,-,-1.63%
"Jun 09, 2014",204.76,204.76,204.76,204.76,-,0.00%
"Jun 10, 2014",205.04,204.76,205.04,204.76,-,0.14%
"Jun 11, 2014",205.04,205.04,205.04,205.04,-,0.00%
"Jun 12, 2014",205.04,205.04,205.04,205.04,-,0.00%
"Jun 13, 2014",209.38,205.04,209.38,205.04,-,2.12%
"Jun 16, 2014",209.38,209.38,209.38,209.38,-,0.00%
"Jun 17, 2014",209.38,209.38,209.38,209.38,-,0.00%
"Jun 18, 2014",206.4,208.47,208.47,206.4,-,-1.42%
"Jun 19, 2014",206.4,206.4,206.4,206.4,-,0.00%
"Jun 20, 2014",206.4,206.4,206.4,206.4,-,0.00%
"Jun 23, 2014",207.25,207.25,207.25,207.25,-,0.41%
"Jun 24, 2014",206.87,206.87,206.87,205.94,-,-0.18%
"Jun 25, 2014",206.87,206.87,206.87,206.87,-,0.00%
"Jun 26, 2014",206.5,206.87,206.87,206.5,-,-0.18%
"Jun 27, 2014",206.5,206.5,206.5,206.5,-,0.00%
"Jun 30, 2014",206.5,206.5,206.5,206.5,-,0.00%
"Jul 01, 2014",206.5,206.5,206.5,206.5,-,0.00%
"Jul 02, 2014",206.5,206.5,206.5,206.5,-,0.00%
"Jul 03, 2014",206.41,206.41,206.41,206.41,-,-0.04%
"Jul 04, 2014",205.29,208.27,208.27,205.29,-,-0.54%
"Jul 07, 2014",205.29,205.29,205.29,205.29,-,0.00%
"Jul 08, 2014",209.83,209.83,209.83,209.83,-,2.21%
"Jul 09, 2014",209.83,209.83,209.83,209.83,-,0.00%
"Jul 10, 2014",208.52,208.52,208.52,208.52,-,-0.62%
"Jul 11, 2014",204.47,204.47,204.47,204.47,-,-1.94%
"Jul 14, 2014",204.47,204.47,204.47,204.47,-,0.00%
"Jul 15, 2014",204.47,204.47,204.47,204.47,-,0.00%
"Jul 16, 2014",207.26,207.26,207.26,207.26,-,1.36%
"Jul 17, 2014",205.64,205.64,205.64,205.64,-,-0.78%
"Jul 18, 2014",205.93,205.93,205.93,205.93,-,0.14%
"Jul 21, 2014",205.55,205.56,205.56,205.55,-,-0.18%
"Jul 22, 2014",208.96,205.55,208.96,205.55,-,1.66%
"Jul 23, 2014",211.8,211.8,211.8,211.8,-,1.36%
"Jul 24, 2014",211.8,211.8,211.8,211.8,-,0.00%
"Jul 25, 2014",211.8,211.8,211.8,211.8,-,0.00%
"Jul 28, 2014",211.28,209,211.28,209,-,-0.25%
"Jul 29, 2014",211.65,211.65,211.65,211.65,-,0.18%
"Jul 30, 2014",211.65,211.65,211.65,211.65,-,0.00%
"Jul 31, 2014",211.28,211.28,211.28,211.28,-,-0.17%
"Aug 01, 2014",211.27,211.27,211.27,211.27,-,-0.00%
"Aug 04, 2014",211.68,211.68,211.68,211.68,-,0.19%
"Aug 05, 2014",211.68,211.68,211.68,211.68,-,0.00%
"Aug 06, 2014",205.27,205.27,205.27,205.27,-,-3.03%
"Aug 07, 2014",207.24,207.24,207.24,207.24,-,0.96%
"Aug 08, 2014",207.13,207.13,207.13,207.13,-,-0.05%
"Aug 11, 2014",210.22,210.22,210.22,210.22,-,1.49%
"Aug 12, 2014",206.03,206.03,206.03,206.03,-,-1.99%
"Aug 13, 2014",213.56,206.03,213.56,206.03,-,3.65%
"Aug 14, 2014",212,212,212,212,-,-0.73%
"Aug 15, 2014",210.24,210.24,210.24,210.24,-,-0.83%
"Aug 18, 2014",210.24,210.24,210.43,210.24,-,0.00%
"Aug 19, 2014",207.77,210.24,210.24,207.77,-,-1.17%
"Aug 20, 2014",210.43,207.77,210.43,207.77,-,1.28%
"Aug 21, 2014",210.43,210.43,210.43,210.43,-,0.00%
"Aug 22, 2014",208.95,210.28,210.43,208.95,-,-0.70%
"Aug 25, 2014",205.8,207,207,205.8,-,-1.51%
"Aug 26, 2014",206.3,206.3,206.3,206.3,-,0.24%
"Aug 27, 2014",206.3,206.3,206.3,206.3,-,0.00%
"Aug 28, 2014",206.3,206.3,206.3,206.3,-,0.00%
"Sep 02, 2014",206.45,206.3,206.45,206.16,-,0.07%
